word	pronunciation	meaning	example	unit	note
memorial service	/məˈmɔːriəl ˈsɜːrvɪs/	追悼式、慰霊の儀式	A memorial service was held Sunday.	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 日曜日に追悼式が行われた。
stabbing rampage	/ˈstæbɪŋ ˈræmpeɪdʒ/	刺殺の狂乱行為、刃物による大量殺傷	a stabbing rampage at an elementary school	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 小学校での刺殺の狂乱行為
bereaved	/bɪˈriːvd/	（親族などを）失った、遺族の	bereaved family members	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 遺族
observe a moment of silence	/əbˈzɜːrv ə ˈmoʊmənt əv ˈsaɪləns/	黙祷を捧げる	everyone observed a moment of silence	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 全員が黙祷を捧げた
fatally stabbed	/ˈfeɪtəli stæbd/	刺殺されて死亡した	The eight were fatally stabbed.	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 8人は刺殺されて死亡した。
sentence to death	/ˈsentəns tə deθ/	死刑を宣告する	He was sentenced to death in 2003.	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 彼は2003年に死刑を宣告された。
prompt	/prɒmpt/	～を促す、～につながる	prompting the strengthening of safety measures	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 安全対策の強化につながった
myth of safety	/mɪθ əv ˈseɪfti/	安全神話（絶対に安全だという思い込み）	the school's "myth of safety"	2026-06-09	news:01-memorial-service-marks-25-years-since-fatal-stabbing-rampage | 学校の「安全神話」
deteriorate	/dɪˈtɪəriəreɪt/	劣化する、状態が悪くなる	The castles have deteriorated over time.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 城は年月とともに劣化してきた。
susceptible to	/səˈseptəbl tuː/	〜の影響を受けやすい	They have become more susceptible to earthquakes.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 地震の影響を受けやすくなっている。
keep	/kiːp/	（城の）天守閣	Hiroshima Castle's reconstructed keep closed in March.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 広島城の再建天守は3月に閉鎖された。
refurbishment	/rɪˈfɜːbɪʃmənt/	改修、リニューアル	He hoped to tour inside after a refurbishment of the keep.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 彼は天守の改修後に中を見学したいと望んだ。
at risk of collapse	/æt rɪsk əv kəˈlæps/	崩壊の危険がある	The survey identified the castle as being at risk of collapse.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 調査は城に崩壊の危険があると特定した。
re-create	/ˌriːkriˈeɪt/	（原状に）再現する、再建する	Nagoya plans to re-create the original wooden structure.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 名古屋はもともとの木造構造を再現する計画だ。
useful life	/ˈjuːsfəl laɪf/	耐用年数、実用期間	The keeps are reaching the end of their useful life.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 天守は耐用年数の末期に差し掛かっている。
intrinsic value	/ɪnˈtrɪnsɪk ˈvæljuː/	本質的価値、内在的価値	Wood reconstruction enhances the intrinsic value of historical landmarks.	2026-06-09	news:02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation | 木造再建は史跡の本質的価値を高める。
current account surplus	/ˈkʌrənt əˈkaʊnt ˈsɜːrpləs/	経常収支の黒字（対外取引全体の収入が支出を上回る状態）	Japan posted a current account surplus of 3.91 trillion yen in April.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 日本は4月、経常収支が3兆9100億円の黒字となった。
year over year	/jɪr ˈoʊvər jɪr/	前年同期比で	Both exports and imports fell over 55 percent year over year.	2026-06-09	news:03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns | 輸出と輸入はともに前年同期比で55%超の減少となった。
