id	title	rule	example	meaning	unit	note
01-memorial-service-marks-25-years-since-fatal-stabbing-rampage-passive-news	Passive voice in news reporting	Events are often reported with passive verbs (was held, were injured) to focus on what happened rather than who did it.	A memorial service was held Sunday.	ニュースでは受動態を使い、出来事そのものに焦点を当てる。誰が行ったかより「何が起きたか」を前面に出す書き方。	2026-06-09	Memorial service marks 25 years since fatal stabbing rampage
01-memorial-service-marks-25-years-since-fatal-stabbing-rampage-with-ing-absolute	With + noun + -ing (absolute construction)	With + noun + present participle adds background detail about simultaneous actions or circumstances.	with about 760 bereaved family members praying for the souls of the victims	「～が…しながら／～という状況で」という付帯状況を簡潔に添える構文。主節の動作と同時に起きた背景を説明する。	2026-06-09	Memorial service marks 25 years since fatal stabbing rampage
01-memorial-service-marks-25-years-since-fatal-stabbing-rampage-relative-clauses	Defining and non-defining relative clauses	That/which/who clauses add essential or extra information about a noun; preposition + which is formal and common in news.	on which the names of the eight children who died are engraved	関係代名詞節で名詞を詳しく説明する。前置詞＋which はフォーマルなニュース文体でよく使われる。	2026-06-09	Memorial service marks 25 years since fatal stabbing rampage
01-memorial-service-marks-25-years-since-fatal-stabbing-rampage-participial-result	Present participle for result (prompting ...)	A present participle phrase after a main clause can show a result or consequence of the main action.	The incident shook the school's "myth of safety," prompting the strengthening of safety measures.	主節の後に現在分詞句を置き、その結果・付随的な影響を述べる。because 節より簡潔で、ニュース記事でよく見る。	2026-06-09	Memorial service marks 25 years since fatal stabbing rampage
02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation-participial-modifiers	Participial phrases modifying nouns	Past/present participles and participial phrases often follow nouns to add detail (e.g., dating back to..., believed to have been built..., long cherished by...).	Castles with wooden structures dating back to the feudal era were destroyed.	名詞の後ろに分詞句を置き、時代・由来・評価などの情報をコンパクトに足す。ニュース記事で人物・建造物を説明する際に頻出。	2026-06-09	Deteriorating castles in Japan face high costs, debates over renovation
02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation-passive-news	Passive voice in news reporting	Passive forms (was destroyed, has been closed, was identified) focus on events and outcomes rather than who performed the action.	The original keep was destroyed in the 1945 U.S. atomic bombing.	受動態で事実・結果を客観的に伝える。誰が行ったかより「何が起きたか」を前面に出す報道文体の特徴。	2026-06-09	Deteriorating castles in Japan face high costs, debates over renovation
02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation-contrast-although-while	Contrast with Although / While / But	Although/While introduce contrast or concession; But links contrasting main clauses. Together they structure problem–response narratives.	Although they were later rebuilt, they have deteriorated over time.	Although/While は譲歩（〜だが）、But は逆接。再建という努力と劣化という現実を対比し、記事の問題提起を作る。	2026-06-09	Deteriorating castles in Japan face high costs, debates over renovation
02-deteriorating-castles-in-japan-face-high-costs-debates-over-renovation-reporting-clauses	Reporting verbs with that-clauses	Verbs like said, argued, added, identified are followed by that-clauses (or direct quotes) to report speech, findings, or official positions.	A city official said the castle tower is a symbol of the city.	said, argued, added などの報告動詞＋that節（または直接引用）で、担当者・専門家・調査結果の見解を伝える。	2026-06-09	Deteriorating castles in Japan face high costs, debates over renovation
03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns-thanks-to	thanks to + noun phrase	Use 'thanks to' to show a positive cause or contributing factor.	Japan posted a surplus, thanks to returns from robust overseas investments.	thanks to は「〜のおかげで」と原因・要因を示す。because of より成果への寄与がポジティブなニュアンスになりやすい。	2026-06-09	Japan's April current account surplus at ¥3.91 tril on overseas returns
03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns-reported-speech-inversion	Reported speech with end placement	In news writing, the source (e.g., 'the ministry said') often comes at the end of the sentence.	The surplus surged 64.9 percent, the Finance Ministry said.	報道英語では発言元を文末に置く倒置が頻出。日本語訳では文頭に「〜によると」と訳すと自然。	2026-06-09	Japan's April current account surplus at ¥3.91 tril on overseas returns
